"* Required Fields","* Required Fields"
"1. Billing address","1. Billing address"
"2. New customer form","2. New customer form"
"3. Credit application","3. Credit application"
"4. Tax Exemption","4. Tax Exemption"
"5. W9","5. W9"
"About Your Order","Special Instructions"
"Accept","Accept"
"Account Information","Account Information"
"Account payable email:","Account payable email:"
"Account Settings","Account Settings"
"Accounts Payable Email Address","Accounts Payable Email Address"
"Accounts Payable:","Accounts Payable:"
"Action","Action"
"Actions","Actions"
"Add Address","Add Address"
"Add New Address","Add New Address"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Sample Cart","Add to Sample Cart"
"Add to Wish List","Add to Wish List"
"Add units","Add units"
"Added to Cart","Added to Cart"
"Additional Address Entries","Additional Addresses"
"Additional addresses","Additional addresses"
"Address Name","Address Name"
"All Categories","All Categories"
"All fields are required","All fields are required"
"An error has occurred, please try again","An error has occurred, please try again"
"Apply Now","Apply Now"
"Article","Article"
"Back","Back"
"Before removing this product from your cart, would you like to save it to your wishlist?","Before removing this product from your cart, would you like to save it to your wishlist?"
"Billing Address","Billing Address"
"Box (%1 Units)","Box (%1 Units)"
"Boxes","Boxes"
"By submitting this form I agree a Credit Review to receive Payment Terms.","By submitting this form I agree a Credit Review to receive Payment Terms."
"Cancel","Cancel"
"Canceled","Canceled"
"Change Billing Address","Edit"
"Change Email and Password","Change Email and Password"
"Change Email","Change Email"
"Change Password","Change Password"
"Change Shipping Address","Edit"
"Check items to add to the cart or","Check items to add to the cart or"
"Choose Currency","Choose Currency"
"Choose Language","Choose Language"
"Choose Region","Choose Region"
"City","City"
"Clear All","Clear All"
"Clear Cart","Clear Cart"
"Clear Shopping Cart","Clear Shopping Cart"
"Click <a href="%1">here</a> to continue shopping ...","Click <a href="%1">here</a> to continue shopping ..."
"Close","Close"
"COL - DOLLAR","COL - DOLLAR"
"Colombia","Colombia"
"Company Name","Company Name"
"Company","Company"
"Confirm New Password","Confirm New Password"
"Contact Information","Contact Information"
"Contact Name","Contact Name"
"Contact Us","Contact Us"
"Continue Adding Samples","Continue Adding Samples"
"Continue Shopping","Continue Shopping"
"Continue to Order","Continue to Order"
"Continue to Samples Checkout","Continue to Samples Checkout"
"Continue","Continue"
"Country","Country"
"Create an account","Create an account"
"Create an Account","Create an Account"
"Currency","Currency"
"Custom Wishlist","Custom Wishlist"
"Custom","Custom"
"Customer Information","Customer Information"
"Decowraps customers enjoy free samples on most stock products. Additional shipping fees may apply.","Decowraps customers enjoy free samples on most stock products. Additional shipping fees may apply."
"Decowraps offers free ground shipping on all sample orders. If you'd like to get your samples sooner, please specify in the notes section below. Additional fees may apply.","Decowraps offers free ground shipping on all sample orders. If you'd like to get your samples sooner, please specify in the notes section below. Additional fees may apply."
"Default Addresses","Default Addresses"
"Default Billing Address","Default Billing Address"
"Delete image","Delete image"
"Delete","Delete"
"Delivery:","Delivery:"
"Delivery","Delivery"
"Download Credit Application Form","Download Credit Application Form"
"Download the New Customer Form","Download the New Customer Form"
"EC - DOLLAR","EC - DOLLAR"
"Ecuador","Ecuador"
"Edit Address","Edit Address"
"Edit Address","Edit"
"Email Address","Email Address"
"Email Address*","Email Address*"
"Email","Email"
"English","English"
"Enjoy all that Decowraps has to offer:","Enjoy all that Decowraps has to offer:"
"Enter Keyword or Item","Enter keywords to search..."
"EUROPE - EURO","EUROPE - EURO"
"Europe","Europe"
"Excl. Tax","Excl. Tax"
"Expiration Date","Expiration Date"
"Field","Field"
"File size must be less than 5 MB","File size must be less than 5 MB"
"Filters Applied","Filters Applied"
"Finish","Finish"
"First name","First name"
"Forgot Your Password?","Forgot Your Password?"
"Free Samples","Free Samples"
"From","From"
"Full Name","Full Name"
"Full Name*","Full Name*"
"Go back","Go back"
"Go to Decowraps","Go to Decowraps"
"Go to Home","Go to Home"
"I accept <a href="%1">Terms and conditions</a> and <a href="%2">Privacy policy","I accept <a href="%1">Terms and conditions</a> and <a href="%2">Privacy policy"
"I agree to Decowraps.com <a href="%1" target="_blank">Terms and Conditions</a> and <a href="%2" target="_blank">Privacy Policy</a>","I agree to Decowraps.com <a href="%1" target="_blank">Terms and Conditions</a> and <a href="%2" target="_blank">Privacy Policy</a>"
"If you have a valid Sales Tax Exemption Certificate, please upload the document and add the expiration date below.","If you have a valid Sales Tax Exemption Certificate, please upload the document and add the expiration date below."
"If you have any questions in the meantime, please don\'t hesitate to contact us.","If you have any questions in the meantime, please don\'t hesitate to contact us."
"If you would like to edit your online shopping options, please <a href="%1" target="_blank">contact us</a> and a Customer Services Representative will help you update your account shortly.","If you would like to edit your online shopping options, please <a href="%1" target="_blank">contact us</a> and a Customer Services Representative will help you update your account shortly."
"If you would like to establish a line of credit with Decowraps, please download the below form and upload the completed document for our review.","If you would like to establish a line of credit with Decowraps, please download the below form and upload the completed document for our review."
"In stock","In stock"
"In Stock","In Stock"
"In the unfortunate event there are any issues with your order such as damage, please upload a picture below.","In the unfortunate event there are any issues with your order such as damage, please upload a picture below."
"Incl. Tax","Incl. Tax"
"Inventory Notification Activated","Inventory Notification Activated"
"Items Ordered","Items Ordered"
"items","items"
"Items","Items"
"Job Title","Job Title"
"JPG, PNG Format. Max. 5MB.","JPG, PNG Format. Max. 5MB."
"Last name","Last name"
"Leave us a message and tell us the address where you want to receive your sample kit.","Leave us a message and tell us the address where you want to receive your sample kit."
"Log out","Log out"
"Login","Login"
"Material:","Material:"
"Max size 5 MB.","Max size 5 MB."
"Message","Message"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Add a password with at least one lower case, upper case, digits and special character."
"More Choices:","More Choices:"
"More","More"
"Most popular","Most popular"
"Most Viewed Products","Most Viewed Products"
